id,username,comment,num_of_likes,published_at
N3JZxBTC1Zw,@alvinvinoza,Naikin gajinya 🔥🔥,962,2025-03-12T14:42:39Z
9YFbtgNsSeA,@MuklasinMuklasin-k6w,"Kalo tidak ada hukuman mati, sampek kiamat pun negeri ini masi saja ada yg korupsi",847,2025-02-25T22:31:15Z
9YFbtgNsSeA,@infotodax,"Gua gak kebayang, Gaji elu berapa... Tapi keserakahan lu... Luar biasa...",683,2025-02-26T03:59:00Z
N3JZxBTC1Zw,@febbriyansaputra4132,Tolong host nya di support dan di lindungi ini,552,2025-03-19T13:20:14Z
N3JZxBTC1Zw,@chalvit4162,harusnya berita ya kayak begini dibawa santai tapi tajam abang ku 😂,535,2025-03-06T16:28:31Z
9YFbtgNsSeA,@niutto5910,"Korupsi di pertamina sudah menjadi budaya mendarah daging di setiap pejabatnya, sejak dulu kala, tapi baru dibongkar sekarang. lebih baik terlambat dari pada tidak. bumn dan institusi pemerintah lain juga sama korupnya harus dibongkar semua. Semoga pemerintahan Prabowo benar2 bisa memberantas korupsi seperti yg dijanjikan.",441,2025-02-25T12:50:55Z
9YFbtgNsSeA,@MuhammadRusmadi-o7k,"Gila,, lama lama jdi terbiasa denger korupsi smpe ratusan triliun,sumpah demi tuhan jangankan menuju Indonesia emas,, yg ada menuju Indonesia sakaratul maut",268,2025-02-26T04:28:55Z
N3JZxBTC1Zw,@johansigarantang,"2 pria yang menurut gw pemberani.

1. Ahmed nurmagedov
2. Host berita Metro TV

Ini menurutku kreatif sama berani sekali, kelihatan siapa yang mendukung dan siapa yang menyembunyikan.",266,2025-03-20T13:38:17Z
9YFbtgNsSeA,@alfath4971,Pertamina dan PLN harus di selidiki itu rugi terus.... KPK woi kerja!!!,259,2025-02-25T21:43:53Z
N3JZxBTC1Zw,@Lyvimoon,"Shessshhhhhh beliau terlalu fokus memasak sampai lupa mengatur apinya yang terlalu membara🥶🥶🥶🔥🔥🔥.

Lindungi beliauu jangan sampe PEJABAT YANG BAPERAN DAN GAK TERIMA DIKATAIN SEPERTI ITU menghukum beliau dengan alasan mencerkan nama baik. Semoag gak ada deh pejabat yang gak tau diri kek gitu 😂😂😂


Otw subrekk",243,2025-03-20T00:18:47Z
N3JZxBTC1Zw,@Rizallaufa_2014Rizallaufa,"Penulis naskah harus di beri penghargaan
""Cooking liga korupsi""
🗣️🔥🔥🔥",239,2025-03-20T09:03:58Z
nwgTuwCb0aU,@imanradiman-xb7sq,"Saya setuju ucapan bu karen , bongkar saja siapapun yg turut menikmati korupsi ...jangan takut dari pada ditanggung sendiri..dan kalau bisa sebut saja namanya...jangan ragu..ok",220,2023-09-19T15:48:06Z
N3JZxBTC1Zw,@anasrullah4641,let him cook 🔥,189,2025-03-15T11:18:34Z
9YFbtgNsSeA,@ardia2308,Saya kangen ada hakim yg memvonis koruptor hukuman mati atau minimal 100 tahun penjara.,184,2025-02-25T17:26:05Z
9YFbtgNsSeA,@rudypri100,Korupsi minimal 1 Milyar = HUKUMAN MATI.....pasti INDONESIA MAKMUR......SETUJU NGGAK???,176,2025-02-26T07:11:09Z
nwgTuwCb0aU,@ojolgaming9138,"Dari tatapan matanya, saya rasa penjelasan ibu ini jujur dan tanpa ditutupi",167,2023-09-19T16:37:28Z
N3JZxBTC1Zw,@ForumAnakBangsa,Media harusmya begini...bukan sekedar memberitakan tp juga mencerdaskan warga negara,136,2025-03-14T00:34:15Z
N3JZxBTC1Zw,@ManzrealID,Baru kali ini nonton berita sampai akhir,136,2025-03-17T10:50:22Z
N3JZxBTC1Zw,@KYA057,Berita tepi jurang 😂😂😂😂😂,136,2025-03-06T14:51:46Z
N3JZxBTC1Zw,@nr777s,Stand up terjun jurang 😂😂😂,136,2025-03-19T03:59:08Z
nwgTuwCb0aU,@tayokids8865,"Luar biasa lugas, beradab dan mantap penjelasannya,, salam hormat bu Karen,, ⭐⭐⭐",126,2023-09-19T16:07:53Z
9YFbtgNsSeA,@kidemang8606,"Gila gila gila gila, Pak Presiden rakyat mendukungmu terbitkan perpu perampasan aset koruptor Pak Presiden.",122,2025-02-25T12:56:39Z
nwgTuwCb0aU,@sukoharjan1505,Nampak Bu Karen sangat tegar dg jawaban jawaban yang lancar,120,2023-09-19T16:00:22Z
9YFbtgNsSeA,@Djaisabdulajis,"Yg beginianlah yg hrs d didemo para mahasiswa, desak pemerintah untuk hukum berat para koruptor dan mengesahkan uu perampasan aset!!",116,2025-02-26T00:36:06Z
nwgTuwCb0aU,@mariasyarif884,"Orang yg bersalah biasanya tidak mau berkomentar atau memberikan keterangan, bahkan menganggap dirinya korban.. tapi ibu menjawab semua pertanyaan dengan lancar dan no komen ttg siapa yg mengorbankannya.",113,2023-09-19T16:39:14Z
